name,color,variation,pgn
Caro-Kann,black,,1. e4 c6
Caro-Kann,black,Advance Variation,1. e4 c6 2. d4 d5 3. e5
Caro-Kann,black,Exchange Variation,1. e4 c6 2. d4 d5 3. exd5
Caro-Kann,black,Panov Attack,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4
Caro-Kann,black,Classical Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
Caro-Kann,black,Fantasy Variation,1. e4 c6 2. d4 d5 3. f3
Caro-Kann,black,Two Knights Attack,1. e4 c6 2. Nc3 d5 3. Nf3
Caro-Kann,black,Karpov Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7
Caro-Kann,black,Korchnoi Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6
Caro-Kann,black,Bronstein-Larsen Variation,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6
Ruy Lopez,white,,1. e4 e5 2. Nf3 Nc6 3. Bb5
Ruy Lopez,white,Berlin Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
Ruy Lopez,white,Exchange Variation,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6
Ruy Lopez,white,Marshall Attack,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5
Ruy Lopez,white,Arkhangelsk Variation,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O b5 6. Bb3 Bb7
Ruy Lopez,white,Chigorin Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Na5
Ruy Lopez,white,Breyer Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Nb8
French Defense,black,,1. e4 e6
French Defense,black,Exchange Variation,1. e4 e6 2. d4 d5 3. exd5
French Defense,black,Tarrasch Variation,1. e4 e6 2. d4 d5 3. Nd2
French Defense,black,Winawer Variation,1. e4 e6 2. d4 d5 3. Nc3 Bb4
French Defense,black,Rubinstein Variation,1. e4 e6 2. d4 d5 3. Nc3 dxe4
French Defense,black,Steinitz Variation,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5
French Defense,black,Advance Variation,1. e4 e6 2. d4 d5 3. e5
French Defense,black,Burn Variation,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5
Sicilian Defense,black,,1. e4 c5
Sicilian Defense,black,Accelerated Dragon,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6
Sicilian Defense,black,Prins Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. f3
Sicilian Defense,black,Alapin Variation,1. e4 c5 2. c3
Sicilian Defense,black,Grand Prix Attack,1. e4 c5 2. Nc3 Nc6 3. f4
Sicilian Defense,black,Najdorf Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6
Sicilian Defense,black,Kan Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
Sicilian Defense,black,Kramnik Variation,1. e4 c5 2. Nf3 e6 3. c4
Sicilian Defense,black,Smith-Morra Gambit,1. e4 c5 2. d4
Sicilian Defense,black,Taimanov Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6
Sicilian Defense,black,Rossolimo Attack,1. e4 c5 2. Nf3 Nc6 3. Bb5
Sicilian Defense,black,Dragon Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6
Sicilian Defense,black,Scheveningen Variation,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6
Sicilian Defense,black,Nimzowitsch Variation,1. e4 c5 2. Nf3 Nf6
Sicilian Defense,black,Kalashnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5 d6
Sicilian Defense,black,O'Kelly Variation,1. e4 c5 2. Nf3 a6
Sicilian Defense,black,Hyperaccelerated Dragon,1. e4 c5 2. Nf3 g6
Sicilian Defense,black,Sveshnikov Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5
Sicilian Defense,black,Richter-Rauzer Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bg5
Sicilian Defense,black,Moscow Variation,1. e4 c5 2. Nf3 d6 3. Bb5+
Italian Game,white,,1. e4 e5 2. Nf3 Nc6 3. Bc4
Italian Game,white,Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4
Italian Game,white,Knight Attack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5
Italian Game,white,Deutz Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. d4
Italian Game,white,Fried Liver Attack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7
Italian Game,white,Traxler Counterattack,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5
Italian Game,white,Modern Bishop's Opening,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3
Italian Game,white,Hungarian Defense,1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7
Italian Game,white,Classical Variation,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3
King's Gambit,white,,1. e4 e5 2. f4
King's Gambit,white,Fischer Defense,1. e4 e5 2. f4 exf4 3. Nf3 d6
King's Gambit,white,Modern Defense,1. e4 e5 2. f4 exf4 3. Nf3 d5
King's Gambit,white,Kieseritzky Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5
King's Gambit,white,Muzio Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. O-O
King's Gambit,white,Bishop's Gambit,1. e4 e5 2. f4 exf4 3. Bc4
King's Gambit,white,Falkbeer Countergambit,1. e4 e5 2. f4 d5
King's Gambit,white,Classical Variation,1. e4 e5 2. f4 Bc5
Pirc Defense,black,,1. e4 d6
Pirc Defense,black,Austrian Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4
